VENDOR_ID,CLIENT,VENDOR_GSTIN,VENDOR_NAME,IDENTIFIER_TEXT,DOCUMENT_TEXT,MATCH_SCORE
SWIGGY_1095,SWIGGY,09AALHA1788E1Z6,ANANNDA FOODS & BEVERAGES - NCR,ANANNDA FOODS & BEVERAGES - NCR 09AALHA1788E1Z6 ANANNDA FOODS & BEVERAGES - NCR 09AALHA1788E1Z6,ANANNDA FOODS & BEVERAGES - NCR 09AALHA1788E1Z6 ANANNDA FOODS & BEVERAGES - NCR 09AALHA1788E1Z6,1
SWIGGY_1096,SWIGGY,06AALPK4766C1ZP,ANAV SALES,ANAV SALES 06AALPK4766C1ZP ANAV SALES 06AALPK4766C1ZP ANAV SALES 06AALPK4766C1ZP ANAV SALES 06AALPK4766C1ZP,ANAV SALES 06AALPK4766C1ZP ANAV SALES 06AALPK4766C1ZP ANAV SALES 06AALPK4766C1ZP ANAV SALES 06AALPK4766C1ZP,1
SWIGGY_1097,SWIGGY,33BEMPG5396C1ZI,ANBU AGENCY,ANBU AGENCY 33BEMPG5396C1ZI ANBU AGENCY 33BEMPG5396C1ZI ANBU AGENCY 33BEMPG5396C1ZI ANBU AGENCY 33BEMPG5396C1ZI,ANBU AGENCY 33BEMPG5396C1ZI ANBU AGENCY 33BEMPG5396C1ZI ANBU AGENCY 33BEMPG5396C1ZI ANBU AGENCY 33BEMPG5396C1ZI,1
SWIGGY_1098,SWIGGY,07AAVCA8221D1ZM,ANIKET RUDRANSH PRIVATE LIMITED,ANIKET RUDRANSH PRIVATE LIMITED 07AAVCA8221D1ZM ANIKET RUDRANSH PRIVATE LIMITED 07AAVCA8221D1ZM,ANIKET RUDRANSH PRIVATE LIMITED 07AAVCA8221D1ZM ANIKET RUDRANSH PRIVATE LIMITED 07AAVCA8221D1ZM,1
SWIGGY_1099,SWIGGY,29AXIPV5083H1ZS,ANITHA ENTERPRISES,ANITHA ENTERPRISES 29AXIPV5083H1ZS ANITHA ENTERPRISES 29AXIPV5083H1ZS ANITHA ENTERPRISES 29AXIPV5083H1ZS ANITHA ENTERPRISES 29AXIPV5083H1ZS,ANITHA ENTERPRISES 29AXIPV5083H1ZS ANITHA ENTERPRISES 29AXIPV5083H1ZS ANITHA ENTERPRISES 29AXIPV5083H1ZS ANITHA ENTERPRISES 29AXIPV5083H1ZS,1
SWIGGY_1100,SWIGGY,29AJJPK0407F1ZG,ANJANADRI ENTERPRISES,ANJANADRI ENTERPRISES 29AJJPK0407F1ZG ANJANADRI ENTERPRISES 29AJJPK0407F1ZG ANJANADRI ENTERPRISES 29AJJPK0407F1ZG ANJANADRI ENTERPRISES 29AJJPK0407F1ZG,ANJANADRI ENTERPRISES 29AJJPK0407F1ZG ANJANADRI ENTERPRISES 29AJJPK0407F1ZG ANJANADRI ENTERPRISES 29AJJPK0407F1ZG ANJANADRI ENTERPRISES 29AJJPK0407F1ZG,1
SWIGGY_1101,SWIGGY,29FVZPK7208F2ZT,ANJANADRI TRADERS,ANJANADRI TRADERS 29FVZPK7208F2ZT ANJANADRI TRADERS 29FVZPK7208F2ZT ANJANADRI TRADERS 29FVZPK7208F2ZT ANJANADRI TRADERS 29FVZPK7208F2ZT,ANJANADRI TRADERS 29FVZPK7208F2ZT ANJANADRI TRADERS 29FVZPK7208F2ZT ANJANADRI TRADERS 29FVZPK7208F2ZT ANJANADRI TRADERS 29FVZPK7208F2ZT,1
SWIGGY_1102,SWIGGY,08BLEPS7557Q1Z0,ANJANI FOODS - JAIPUR,ANJANI FOODS - JAIPUR 08BLEPS7557Q1Z0 ANJANI FOODS - JAIPUR 08BLEPS7557Q1Z0,ANJANI FOODS - JAIPUR 08BLEPS7557Q1Z0 ANJANI FOODS - JAIPUR 08BLEPS7557Q1Z0,1
SWIGGY_1103,SWIGGY,37AACCR4447B2ZK,ANJANI FOODS LIMITED UNIT - 2,ANJANI FOODS LIMITED UNIT - 2 37AACCR4447B2ZK ANJANI FOODS LIMITED UNIT - 2 37AACCR4447B2ZK,ANJANI FOODS LIMITED UNIT - 2 37AACCR4447B2ZK ANJANI FOODS LIMITED UNIT - 2 37AACCR4447B2ZK,1
SWIGGY_1104,SWIGGY,29AAPCA9465P1ZH,ANKASUMMOR FOODS PRIVATE LIMITED,ANKASUMMOR FOODS PRIVATE LIMITED 29AAPCA9465P1ZH ANKASUMMOR FOODS PRIVATE LIMITED 29AAPCA9465P1ZH,ANKASUMMOR FOODS PRIVATE LIMITED 29AAPCA9465P1ZH ANKASUMMOR FOODS PRIVATE LIMITED 29AAPCA9465P1ZH,1
