VENDOR_NAME,VENDOR_ID,VENDOR_ID_COPY,Custom Field Name,Custom Field Label,Custom Field Label Position,Custom Field Shape,Custom Field Location,Top Delimiter,Bottom Delimiter,Default Value,Horizontal Anchor,Vertical Anchor,TOP,BOTTOM,LEFT,RIGHT,INCLUDE_TOP,INCLUDE_BOTTOM,PAGE_IDENTIFIER
SWIGGY,,SWIGGY_10191,totalAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,dddddd.dd,NONE,Not Applicable,Not Applicable,Not Applicable,Net Payable,Total,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10192,totalGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,ddddd.dd,NONE,Not Applicable,Not Applicable,Not Applicable,Total GST,Total,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10193,invoiceNumber,MULTI_TOKEN,MULTI_TOKEN,MULTI_TOKEN,NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ms.,Date,Contact,PAGE BOUNDARY,YES,NO,Not Applicable
SWIGGY,,SWIGGY_10194,totalAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,ddd,NONE,Not Applicable,Not Applicable,Not Applicable,Total,Amout,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10195,invoiceDate,MULTI_TOKEN,MULTI_TOKEN,MULTI_TOKEN,NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Date,Date,Date,PAGE BOUNDARY,YES,YES,Not Applicable
SWIGGY,,SWIGGY_10196,CGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,ddddd.dd,NONE,Not Applicable,Not Applicable,Not Applicable,Central Tax,Amount,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10197,SGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,ddddd.dd,NONE,Not Applicable,Not Applicable,Not Applicable,StateTax,Amount,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10198,subTotal,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,ddddd.dd,NONE,Not Applicable,Not Applicable,Not Applicable,Total,Taxable Value,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10199,totalAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,ddddd.dd,NONE,Not Applicable,Not Applicable,Not Applicable,Total,Amount,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10200,totalGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,ddddd.dd,NONE,Not Applicable,Not Applicable,Not Applicable,Total,Tax Amount,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10201,CGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,CGST @,TAX,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10202,SGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,SGST @,TAX,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10203,totalAmount,Grand Total,Above,dddddd.dd,NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10204,CessAmount,CESS,Left,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10205,SGSTAmount,Output CGST,Left,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10206,CGSTAmount,Output SGST,Left,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10207,CGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,CGST on sales,Amount,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10208,SGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,SGST on sales,Amount,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10209,CessAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Cess on Sale,Amount,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10210,additionalCessAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Additional Cess,Amount,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10211,subTotal,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Total,Taxable Value,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10212,totalGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,dddddd,NONE,Not Applicable,Not Applicable,Not Applicable,Total,Total Tax Amount,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10213,invoiceDate,MULTI_TOKEN,MULTI_TOKEN,NONE,NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Invoice No,Order No,Inv Date,Transport,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10214,subTotal,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,dddddd.dd,NONE,Not Applicable,Not Applicable,Not Applicable,Total Amt,Total Amt,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10215,invoiceDate,Date,Left,dd/dd/dddd,NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10216,CGSTAmount,CGST,Above,ddd.dd,NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10217,SGSTAmount,SGST,Above,ddd.dd,NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10218,subTotal,TaxableVal,MULTI_TOKEN,MULTI_TOKEN,NONE,NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,TaxableVal,PAGE_BOUNDARY,Rate,CGST,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10219,totalGSTAmount,Total Tax Amount,Left,dddd.dd,NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10220,totalGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"dd,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Total,Tax Amount,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10221,invoiceDate,Dated,Above,dd-Xxx-dd,NONE,Not Applicable,Mode/Terms of Payment,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10222,CGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Total,Central Tax,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10223,SGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Total,State Tax,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10224,subTotal,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,ddddd.dd,NONE,Not Applicable,Not Applicable,Not Applicable,Gross Amt,Net Amount,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10225,totalAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,ddddd.dd,NONE,Not Applicable,Not Applicable,Not Applicable,Payable Amount,Net Amount,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10226,CGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,dddd.dd,NONE,Not Applicable,Not Applicable,Not Applicable,CGST,Net Amount,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10227,SGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,dddd.dd,NONE,Not Applicable,Not Applicable,Not Applicable,SGST,Net Amount,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10228,CGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,ddddd.dd,NONE,Not Applicable,Not Applicable,Not Applicable,Total,CGST,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10229,SGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,ddddd.dd,NONE,Not Applicable,Not Applicable,Not Applicable,Total,SGST,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10230,totalGSTAmount,Total tax Amount,Left,dddd.dd,NONE,Not Applicable,Invoice Date,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10231,subTotal,Total Invoice Value,Left,ddddd.dd,NONE,Not Applicable,Invoice Date,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10232,totalAmount,Total Invoice Payable,Left,ddddd.dd,NONE,Not Applicable,Invoice Date,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10233,CGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Total,CGST,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10234,SGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Total,SGST,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10235,invoiceNumber,Invoice No,Above,XXXX/dd-dd/ddd,NONE,Not Applicable,Delivery Note,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10236,subTotal,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"dd,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Total,Taxable Value,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10237,invoiceNumber,Invoice Number,Left,dddddd,NONE,Not Applicable,BILL TO,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10238,CGSTAmount,CGST Amt,Left,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10239,SGSTAmount,SGST Amt,Left,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10240,totalGSTAmount,Net Amount,Left,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10241,totalAmount,Total Amt,Left,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10242,CGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Total,Central Tax,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10243,SGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Total,State Tax,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10244,CGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Total,CGST,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10245,SGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Total,SGST,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10246,invoiceNumber,Invoice No,Left,XXdd\dd-dd,NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10247,invoiceDate,MULTI_TOKEN,MULTI_TOKEN,MULTI_TOKEN,NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,PAGE_BOUNDARY,Dated,Dated,PAGE_BOUNDARY,NO,YES,Not Applicable
SWIGGY,,SWIGGY_10248,subTotal,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Total,Taxable Value,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10249,CGSTAmount,CGST,Left,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10250,SGSTAmount,CGST,Left,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10251,totalAmount,TOTAL,Left,ddd.dd,NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Amount,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10252,SGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,SGST,Amount,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10253,subTotal,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Total,Taxable Value,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10254,totalGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Total,Tax Amount,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10255,CGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,SGST,Amount,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10256,totalGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"dd,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Total,Tax Amount,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10257,invoiceDate,Invoice Date,Left,dd/dd/dddd,NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10258,SGSTAmount,SGST,Above,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10259,totalGSTAmount,Total Tax,Above,ddd.dd,NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10260,CessAmount,Cess,Above,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10261,additionalCessAmount,AddiCess,Above,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10262,SGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,dddd.dd,NONE,Not Applicable,Not Applicable,Not Applicable,SGST,Tax Amount,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10263,CGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,ddddd.dd,NONE,Not Applicable,Not Applicable,Not Applicable,CGST,Tax Amount,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10264,totalGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,ddddd.dd,NONE,Not Applicable,Not Applicable,Not Applicable,Total,GST,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10265,subTotal,SGST,Left,"dd,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10266,CGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Total Invoice Value,CGST Amt,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10267,SGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Total Invoice Value,SGST Amt,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10268,totalAmount,Net Receivable Amount,Left,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10269,totalAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Total,Amount,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10270,invoiceNumber,Invoice No.,Above,ddd,NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10271,CGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Total,Central Tax,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10272,SGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Total,State Tax,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10273,SGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"dd,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Total,SGST Amt,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10274,CGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"dd,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Total,SGST Amt,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10275,subTotal,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"d,dd,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Total,CGST Amt,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10276,subTotal,Total,Left,dddddd,NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10277,subTotal,Grand Total,Left,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10278,totalGSTAmount,Total Taxes,Left,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10279,IGSTAmount,Total Taxes,Left,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10280,subTotal,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,"d,ddd.dd",NONE,Not Applicable,Not Applicable,Not Applicable,Total,Taxable Value,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10281,invoiceDate,Dated,Above,d-Xxx-dddd,NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10282,invoiceNumber,MULTI_TOKEN,MULTI_TOKEN,MULTI_TOKEN,NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Invoice No.,Invoice No.,Invoice No.,PAGE BOUNDARY,YES,YES,Not Applicable
SWIGGY,,SWIGGY_10283,invoiceDate,Invoice Date,Left,dd/dd/dddd,NONE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10284,invoiceNumber,Invoice No,Left,XXXXdddd,NONE,Not Applicable,Invoice Date,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10285,CGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,ddddd.dd,NONE,Not Applicable,Not Applicable,Not Applicable,Total,CGST Value,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10286,SGSTAmount,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,ddddd.dd,NONE,Not Applicable,Not Applicable,Not Applicable,Total,SGST/UTGST Value,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SWIGGY,,SWIGGY_10287,subTotal,ANCHOR_LEFT_TOP,ANCHOR_LEFT_TOP,ddddd.dd,NONE,Not Applicable,Not Applicable,Not Applicable,Total,GST Taxable Value,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
